,x_kalman1,labels,Model Confidence Prediction,Model Thresholded Prediction,min,sec
565,0.03,0,0,0,6,36
566,0.02,0,0,0,6,36
567,0.02,0,0,0,6,36
568,0.02,0,0,0,6,36
569,0.02,0,0,0,6,37
570,0.02,0,0,0,6,37
571,0.01,0,0,0,6,37
572,0.01,0,0,0,6,37
573,0.01,0,0,0,6,37
574,0.01,0,0,0,6,37
575,0.01,0,0,0,6,37
576,0.01,0,0,0,6,37
577,0.01,0,0,0,6,37
578,0.01,0,0,0,6,37
579,0.01,0,0,0,6,37
580,0.01,0,0,0,6,37
581,0.01,0,0,0,6,37
582,0.01,0,0,0,6,37
583,0.0,0,0,0,6,37
584,0.0,0,0,0,6,37
585,0.0,0,0,0,6,37
586,0.0,0,0,0,6,38
587,-0.0,0,0,0,6,38
588,-0.0,0,0,0,6,38
589,-0.0,0,0,0,6,38
590,-0.0,0,0,0,6,38
591,-0.0,0,0,0,6,38
592,-0.0,0,0,0,6,38
593,-0.0,0,0,0,6,38
594,-0.0,0,0,0,6,38
595,-0.01,0,0,0,6,38
596,-0.01,0,0,0,6,38
597,-0.01,0,0,0,6,38
598,-0.01,0,0,0,6,38
599,-0.01,0,0,0,6,38
600,-0.01,0,0,0,6,38
601,-0.01,0,0,0,6,38
602,-0.01,0,0,0,6,38
603,-0.01,0,0,0,6,38
604,-0.01,0,0,0,6,39
605,-0.01,0,0,0,6,39
606,-0.01,0,0,0,6,39
607,-0.01,0,0,0,6,39
608,-0.01,0,0,0,6,39
609,-0.01,0,0,0,6,39
610,-0.02,0,0,0,6,39
611,-0.02,0,0,0,6,39
612,-0.02,0,0,0,6,39
613,-0.02,0,1,0,6,39
614,-0.02,0,2,0,6,39
615,-0.02,0,4,0,6,39
616,-0.02,0,5,0,6,39
617,-0.02,0,5,0,6,39
618,-0.02,0,5,0,6,39
619,-0.02,0,5,0,6,39
620,-0.02,0,4,0,6,39
621,-0.02,0,4,0,6,40
622,-0.02,0,3,0,6,40
623,-0.02,0,3,0,6,40
624,-0.02,0,2,0,6,40
625,-0.02,0,2,0,6,40
626,-0.02,0,2,0,6,40
627,-0.02,0,2,0,6,40
628,-0.02,0,1,0,6,40
629,-0.02,0,0,0,6,40
630,-0.02,0,0,0,6,40
631,-0.02,0,0,0,6,40
632,-0.02,0,0,0,6,40
633,-0.02,0,0,0,6,40
634,-0.02,0,0,0,6,40
635,-0.02,0,0,0,6,40
636,-0.02,0,0,0,6,40
637,-0.02,0,0,0,6,40
638,-0.02,0,0,0,6,40
639,-0.02,0,0,0,6,41
640,-0.02,0,0,0,6,41
641,-0.02,0,0,0,6,41
642,-0.02,0,0,0,6,41
643,-0.03,0,0,0,6,41
644,-0.03,0,0,0,6,41
645,-0.03,0,0,0,6,41
646,-0.03,0,0,0,6,41
647,-0.02,0,0,0,6,41
648,-0.02,0,0,0,6,41
649,-0.02,0,0,0,6,41
650,-0.02,0,0,0,6,41
651,-0.02,0,0,0,6,41
652,-0.02,0,0,0,6,41
653,-0.02,0,1,0,6,41
654,-0.02,0,1,0,6,41
655,-0.02,0,1,0,6,41
656,-0.02,0,1,0,6,42
657,-0.02,0,1,0,6,42
658,-0.02,0,1,0,6,42
659,-0.02,0,1,0,6,42
660,-0.02,0,2,0,6,42
661,-0.02,0,4,0,6,42
662,-0.02,0,5,0,6,42
663,-0.02,0,8,0,6,42
664,-0.02,0,11,0,6,42
665,-0.02,0,16,0,6,42
666,-0.02,0,22,0,6,42
667,-0.02,0,31,0,6,42
668,-0.02,0,36,0,6,42
669,-0.02,0,36,0,6,42
670,-0.02,0,39,0,6,42
671,-0.02,0,48,1,6,42
672,-0.02,0,63,1,6,42
673,-0.02,0,71,1,6,43
674,-0.02,1,74,1,6,43
675,-0.02,1,74,1,6,43
676,-0.01,1,76,1,6,43
677,-0.01,1,79,1,6,43
678,-0.01,1,81,1,6,43
679,-0.01,1,84,1,6,43
680,-0.01,1,85,1,6,43
681,-0.01,1,87,1,6,43
682,-0.0,1,87,1,6,43
683,-0.0,1,88,1,6,43
684,0.0,1,87,1,6,43
685,0.0,1,85,1,6,43
686,0.01,1,82,1,6,43
687,0.01,1,81,1,6,43
688,0.01,1,80,1,6,43
689,0.01,1,80,1,6,43
690,0.02,1,78,1,6,43
691,0.02,1,71,1,6,44
692,0.02,1,59,1,6,44
693,0.02,1,49,1,6,44
694,0.03,1,46,1,6,44
695,0.03,1,44,1,6,44
696,0.03,1,45,1,6,44
697,0.04,1,51,1,6,44
698,0.04,1,57,1,6,44
699,0.04,1,57,1,6,44
700,0.04,1,54,1,6,44
701,0.05,1,43,1,6,44
702,0.05,1,29,0,6,44
703,0.05,1,15,0,6,44
704,0.05,1,9,0,6,44
705,0.05,1,9,0,6,44
706,0.05,1,6,0,6,44
707,0.05,1,3,0,6,44
708,0.05,1,2,0,6,45
709,0.06,1,5,0,6,45
710,0.06,0,8,0,6,45
711,0.07,0,11,0,6,45
712,0.07,0,14,0,6,45
713,0.06,0,8,0,6,45
714,0.06,0,2,0,6,45
715,0.06,0,1,0,6,45
716,0.06,0,0,0,6,45
717,0.06,0,0,0,6,45
718,0.06,0,0,0,6,45
719,0.05,0,0,0,6,45
720,0.05,0,0,0,6,45
721,0.05,0,0,0,6,45
722,0.05,0,0,0,6,45
723,0.04,0,0,0,6,45
724,0.04,0,0,0,6,45
725,0.04,0,0,0,6,45
726,0.04,0,0,0,6,46
727,0.04,0,0,0,6,46
728,0.03,0,0,0,6,46
729,0.03,0,0,0,6,46
730,0.03,0,0,0,6,46
731,0.03,0,0,0,6,46
732,0.03,0,0,0,6,46
733,0.03,0,0,0,6,46
734,0.03,0,0,0,6,46
735,0.03,0,0,0,6,46
736,0.02,0,0,0,6,46
737,0.02,0,0,0,6,46
738,0.02,0,0,0,6,46
739,0.02,0,0,0,6,46
740,0.02,0,0,0,6,46
741,0.02,0,0,0,6,46
742,0.02,0,0,0,6,46
743,0.01,0,0,0,6,47
744,0.02,0,0,0,6,47
745,0.02,0,0,0,6,47
746,0.02,0,0,0,6,47
747,0.01,0,0,0,6,47
748,0.01,0,0,0,6,47
749,0.01,0,0,0,6,47
